99722,1.0033e+05,99860,1.0062e+05,99640,1.0033e+05,1.0177e+05,1.0137e+05,1.0071e+05,1.0053e+05,1.0017e+05,1.0147e+05
1.0003e+05,99900,1e+05,99803,1.0062e+05,1.0117e+05,1.0193e+05,1.0115e+05,1.0094e+05,1.0058e+05,1.0004e+05,1.0038e+05
99452,1.0083e+05,99962,99951,99309,1.0069e+05,1.0196e+05,1.0124e+05,1.0069e+05,1.0028e+05,1.0072e+05,99834
99595,99148,1e+05,99644,99535,1.0076e+05,1.0167e+05,1.0132e+05,1.0089e+05,1.0026e+05,1.0004e+05,99633
99737,99651,99762,99281,1.0063e+05,1.0109e+05,1.0173e+05,1.0142e+05,1.0082e+05,1.0006e+05,1.0094e+05,99818
99349,1.0002e+05,1.0016e+05,1.0036e+05,99950,1.0116e+05,1.0185e+05,1.0143e+05,1.0046e+05,1.0072e+05,1.0033e+05,99295
1.0033e+05,1.0022e+05,99881,1.0111e+05,1.0026e+05,1.014e+05,1.0182e+05,1.014e+05,1.0148e+05,1.0008e+05,1.0023e+05,1.0091e+05
99876,1.0121e+05,99853,1.0024e+05,1.0002e+05,1.0058e+05,1.0138e+05,1.0123e+05,1.0093e+05,99901,1.002e+05,99338
99421,1.0015e+05,99508,99451,99724,1.0108e+05,1.0236e+05,1.0119e+05,1.0007e+05,1.0037e+05,99768,99635
99879,99966,99713,99455,1.0059e+05,1.0165e+05,1.0189e+05,1.0157e+05,1.0032e+05,1.0027e+05,1.0151e+05,1.0015e+05
99508,1.0035e+05,1.0009e+05,99530,99183,1.003e+05,1.0183e+05,1.0106e+05,1.009e+05,1.0034e+05,1.0072e+05,99786
99291,99711,1.0025e+05,1.002e+05,1.0022e+05,1.0009e+05,1.0168e+05,1.0146e+05,1.017e+05,1.004e+05,99999,99918
99987,1.0018e+05,99469,1.0052e+05,1.0081e+05,1.0104e+05,1.0135e+05,1.0115e+05,1.0067e+05,1.0059e+05,99738,1.0015e+05
99257,1.0061e+05,99318,99800,1.0008e+05,1.006e+05,1.0177e+05,1.0106e+05,1.0042e+05,1.0033e+05,1.0051e+05,1.0084e+05
1.0073e+05,1.001e+05,1.0061e+05,99590,99365,1.0086e+05,1.0171e+05,1.0127e+05,1.0074e+05,1.0057e+05,1.0017e+05,1.0003e+05
99910,1.0073e+05,1.0028e+05,1.0015e+05,99940,1.0072e+05,1.0189e+05,1.0166e+05,1.0094e+05,1.0093e+05,1.0097e+05,1.0078e+05
99950,99501,99011,99810,1.0044e+05,1.0115e+05,1.0184e+05,1.0145e+05,1.0033e+05,1.0022e+05,1.009e+05,1.0107e+05
1.0002e+05,1.0057e+05,1.0024e+05,1.0077e+05,1.0077e+05,1.0094e+05,1.0162e+05,1.0147e+05,1.0096e+05,1.0066e+05,99645,99696
