9.5595e+06,1.195e+07,1.3132e+07,1.2849e+07,1.1969e+07,9.9688e+06,4.214e+06,1.0194e+06,3.8028e+05,3.2118e+05,9.6322e+05,2.1486e+06
7.7095e+06,1.1387e+07,1.2943e+07,1.3258e+07,1.268e+07,1.1051e+07,7.5984e+06,2.2517e+06,8.5013e+05,1.1014e+06,2.7795e+06,7.0113e+06
1.027e+07,1.2444e+07,1.3368e+07,1.3425e+07,1.2514e+07,1.0434e+07,6.794e+06,2.1656e+06,7.8622e+05,1.0633e+06,1.518e+06,3.6954e+06
8.1573e+06,1.1407e+07,1.3182e+07,1.3235e+07,1.255e+07,1.1027e+07,7.0811e+06,2.1575e+06,6.2998e+05,9.5204e+05,1.5248e+06,6.1492e+06
1.0028e+07,1.1974e+07,1.3359e+07,1.3694e+07,1.2707e+07,1.0966e+07,6.8721e+06,1.5563e+06,6.4894e+05,5.4133e+05,1.2585e+06,3.0757e+06
9.3953e+06,1.1334e+07,1.2798e+07,1.3133e+07,1.2478e+07,1.0493e+07,5.8916e+06,1.2997e+06,4.2252e+05,5.5684e+05,1.33e+06,4.7613e+06
9.3009e+06,1.1996e+07,1.3362e+07,1.3202e+07,1.2355e+07,1.1102e+07,5.2956e+06,1.0299e+06,3.428e+05,2.9948e+05,1.1179e+06,2.1714e+06
7.4565e+06,1.0952e+07,1.2832e+07,1.3266e+07,1.2756e+07,1.0511e+07,5.8007e+06,8.8896e+05,3.0071e+05,2.3227e+05,1.0002e+06,4.1389e+06
8.097e+06,1.1072e+07,1.293e+07,1.2982e+07,1.2161e+07,1.0265e+07,6.2182e+06,1.8859e+06,6.3545e+05,8.075e+05,2.0503e+06,5.1299e+06
9.1459e+06,1.2478e+07,1.3321e+07,1.3162e+07,1.2124e+07,1.0146e+07,5.4303e+06,1.2451e+06,3.0269e+05,1.921e+05,6.4898e+05,1.4669e+06
7.2324e+06,1.0792e+07,1.2286e+07,1.2793e+07,1.1582e+07,8.4292e+06,4.4606e+06,7.1456e+05,1.1941e+05,1.1235e+05,5.8043e+05,2.8195e+06
7.9128e+06,1.0581e+07,1.2198e+07,1.2803e+07,1.1971e+07,1.0233e+07,5.8023e+06,1.0806e+06,2.5912e+05,2.4167e+05,9.44e+05,3.4758e+06
9.0882e+06,1.1546e+07,1.2609e+07,1.2897e+07,1.189e+07,1.0182e+07,7.3683e+06,2.1797e+06,7.5843e+05,8.7081e+05,1.644e+06,6.3038e+06
9.9505e+06,1.1545e+07,1.291e+07,1.3141e+07,1.2377e+07,1.0484e+07,6.5512e+06,2.6496e+06,5.9013e+05,5.233e+05,1.4876e+06,5.0933e+06
9.3534e+06,1.1311e+07,1.298e+07,1.323e+07,1.2144e+07,1.0321e+07,5.4309e+06,9.2797e+05,2.4496e+05,1.8992e+05,1.0654e+06,2.9562e+06
8.2839e+06,1.1338e+07,1.249e+07,1.2939e+07,1.2154e+07,1.04e+07,6.8325e+06,2.402e+06,3.1693e+05,5.6094e+05,2.6287e+06,6.1818e+06
9.6695e+06,1.188e+07,1.275e+07,1.2988e+07,1.2183e+07,1.0746e+07,7.36e+06,2.8982e+06,8.5247e+05,1.105e+06,3.1372e+06,7.733e+06
1.0247e+07,1.2055e+07,1.3353e+07,1.3854e+07,1.3018e+07,1.1112e+07,7.7259e+06,2.4346e+06,5.7402e+05,9.8544e+05,2.078e+06,5.9272e+06
1.0531e+07,1.2125e+07,1.3166e+07,1.3223e+07,1.2267e+07,1.0319e+07,6.5568e+06,1.6198e+06,4.2023e+05,8.1915e+05,2.2532e+06,5.3153e+06
9.3325e+06,1.1462e+07,1.2743e+07,1.3044e+07,1.2186e+07,9.9587e+06,5.9611e+06,1.9409e+06,4.5009e+05,3.837e+05,1.3287e+06,4.9183e+06
8.7435e+06,1.0764e+07,1.1862e+07,1.2753e+07,1.2094e+07,1.0008e+07,6.4644e+06,1.852e+06,4.4275e+05,2.9554e+05,1.1441e+06,2.5705e+06
7.4713e+06,1.0658e+07,1.2237e+07,1.2852e+07,1.2179e+07,1.0574e+07,5.3747e+06,1.056e+06,3.1416e+05,3.6927e+05,1.1145e+06,2.9745e+06
7.8776e+06,1.1001e+07,1.2213e+07,1.3095e+07,1.2227e+07,1.0224e+07,6.4771e+06,1.5555e+06,3.3701e+05,1.9114e+05,1.2846e+06,3.366e+06
7.9831e+06,1.1253e+07,1.2583e+07,1.2892e+07,1.2121e+07,1.021e+07,5.7774e+06,1.4703e+06,2.3505e+05,1.0872e+05,7.7806e+05,2.5785e+06
8.2475e+06,1.0285e+07,1.1697e+07,1.1575e+07,1.1004e+07,9.027e+06,4.8799e+06,6.9229e+05,1.2448e+05,1.4057e+05,8.8436e+05,2.1375e+06
6.4342e+06,9.9116e+06,1.1862e+07,1.288e+07,1.2221e+07,1.038e+07,6.0148e+06,1.2199e+06,3.7823e+05,3.0082e+05,1.677e+06,4.0487e+06
7.8758e+06,1.1146e+07,1.2449e+07,1.2755e+07,1.2103e+07,1.0466e+07,7.0604e+06,2.2163e+06,5.0457e+05,5.4222e+05,1.3355e+06,3.9302e+06
9.2699e+06,1.1634e+07,1.2629e+07,1.2957e+07,1.1629e+07,9.8973e+06,5.9503e+06,1.0824e+06,3.8287e+05,5.4482e+05,1.5321e+06,4.0952e+06
